topic	tracked	sha256	aliases	line	text
OTHER	NO	33593015c71b4943f924d849952632d1c0b99f9d80f2e63c3d42bcdb87844358	BOOTSTRAP/BOOTSTRAP — Foundational Reduction Continuation.md	188	## Non-Negotiable Constraints
OTHER	NO	33593015c71b4943f924d849952632d1c0b99f9d80f2e63c3d42bcdb87844358	BOOTSTRAP/BOOTSTRAP — Foundational Reduction Continuation.md	214	## New Constitutional Constraint Candidate
OTHER	NO	33593015c71b4943f924d849952632d1c0b99f9d80f2e63c3d42bcdb87844358	BOOTSTRAP/BOOTSTRAP — Foundational Reduction Continuation.md	226	## Working Standard
OTHER	NO	1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	1	# KRN-0001 — Common Constitutional Kernel
OTHER	NO	1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	11	# Purpose
OTHER	NO	1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	29	# Project Identity
OTHER	NO	1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	43	# Constitutional Boundary
OTHER	NO	1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	66	# Initialization Protocol
OTHER	NO	1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	99	# Source Precedence
OTHER	NO	1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	124	# Epistemic Discipline
RECOVERY_BOOTSTRAP	NO	1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	163	# Recovery Doctrine
OTHER	NO	1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	191	# Reduction Doctrine
OTHER	NO	1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	217	# Construction Doctrine
OTHER	NO	1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	237	# Repository Doctrine
ROLES	NO	1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	269	# Branch Doctrine
ROLES	NO	1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	281	Branch synchronization SHALL be deliberate, not constant.
STATE_SYNC	NO	1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	281	Branch synchronization SHALL be deliberate, not constant.
OTHER	NO	1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	300	# Governance Doctrine
OTHER	NO	1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	326	# Human Doctrine
OTHER	NO	1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	362	# Interface Doctrine
OTHER	NO	1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	382	# Operator Model Boundary
OTHER	NO	1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	409	# More Birds Heuristic
OTHER	NO	1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	429	# Interruption Rules
OTHER	NO	1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	448	# Session Lifecycle
PROMOTION_VALIDATION	NO	1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	479	# Validation
OTHER	NO	1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	511	# Uncertainty Procedure
OTHER	NO	1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	524	# Guiding Question
AUTHORITY	NO	1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	530	# Final Authority
OTHER	YES	b392e310bbba832ca2757fba815f4b5e3a9fc2b8b7a348ecf732376ddae2007a	workspace/operational/integration/EXTERNAL_VERIFICATION_STATUS.json	9	"    ""status"": ""verified"""
OTHER	YES	b392e310bbba832ca2757fba815f4b5e3a9fc2b8b7a348ecf732376ddae2007a	workspace/operational/integration/EXTERNAL_VERIFICATION_STATUS.json	21	"    ""status"": ""verified"""
OTHER	YES	5f55925976446211b2e3cc2678c98b787fb167e63c3b1a435239d8e3d7575301	workspace/operational/integration/FILE_LIBRARY_MANIFEST.json	3	"  ""status"": ""verified"","
AUTHORITY	YES	5f55925976446211b2e3cc2678c98b787fb167e63c3b1a435239d8e3d7575301	workspace/operational/integration/FILE_LIBRARY_MANIFEST.json	4	"  ""authority"": ""Operations"","
MISSION_OPERATION	YES	5f55925976446211b2e3cc2678c98b787fb167e63c3b1a435239d8e3d7575301	workspace/operational/integration/FILE_LIBRARY_MANIFEST.json	4	"  ""authority"": ""Operations"","
OTHER	YES	54dc0a913accc03d6b5d4e3e5afa4dd4338638299d1bafdf64e5319df85834f3	workspace/operational/integration/PROJECT_CONFIGURATION_MANIFEST.json	3	"  ""status"": ""candidate"","
AUTHORITY	YES	54dc0a913accc03d6b5d4e3e5afa4dd4338638299d1bafdf64e5319df85834f3	workspace/operational/integration/PROJECT_CONFIGURATION_MANIFEST.json	4	"  ""authority"": ""Operations"","
MISSION_OPERATION	YES	54dc0a913accc03d6b5d4e3e5afa4dd4338638299d1bafdf64e5319df85834f3	workspace/operational/integration/PROJECT_CONFIGURATION_MANIFEST.json	4	"  ""authority"": ""Operations"","
OTHER	YES	54dc0a913accc03d6b5d4e3e5afa4dd4338638299d1bafdf64e5319df85834f3	workspace/operational/integration/PROJECT_CONFIGURATION_MANIFEST.json	6	"  ""required_configuration"": {"
ROLES	YES	54dc0a913accc03d6b5d4e3e5afa4dd4338638299d1bafdf64e5319df85834f3	workspace/operational/integration/PROJECT_CONFIGURATION_MANIFEST.json	20	"  ""execution_roles"": ["
MISSION_OPERATION	YES	54dc0a913accc03d6b5d4e3e5afa4dd4338638299d1bafdf64e5319df85834f3	workspace/operational/integration/PROJECT_CONFIGURATION_MANIFEST.json	20	"  ""execution_roles"": ["
ROLES	YES	54dc0a913accc03d6b5d4e3e5afa4dd4338638299d1bafdf64e5319df85834f3	workspace/operational/integration/PROJECT_CONFIGURATION_MANIFEST.json	21	"    ""Head Steward"","
STATE_SYNC	YES	54dc0a913accc03d6b5d4e3e5afa4dd4338638299d1bafdf64e5319df85834f3	workspace/operational/integration/PROJECT_CONFIGURATION_MANIFEST.json	28	"  ""active_execution_partner"": ""Babbage"","
MISSION_OPERATION	YES	54dc0a913accc03d6b5d4e3e5afa4dd4338638299d1bafdf64e5319df85834f3	workspace/operational/integration/PROJECT_CONFIGURATION_MANIFEST.json	28	"  ""active_execution_partner"": ""Babbage"","
STATE_SYNC	YES	54dc0a913accc03d6b5d4e3e5afa4dd4338638299d1bafdf64e5319df85834f3	workspace/operational/integration/PROJECT_CONFIGURATION_MANIFEST.json	29	"  ""active_mission"": ""GPT Plus Integration"","
PROMOTION_VALIDATION	YES	54dc0a913accc03d6b5d4e3e5afa4dd4338638299d1bafdf64e5319df85834f3	workspace/operational/integration/PROJECT_CONFIGURATION_MANIFEST.json	29	"  ""active_mission"": ""GPT Plus Integration"","
MISSION_OPERATION	YES	54dc0a913accc03d6b5d4e3e5afa4dd4338638299d1bafdf64e5319df85834f3	workspace/operational/integration/PROJECT_CONFIGURATION_MANIFEST.json	29	"  ""active_mission"": ""GPT Plus Integration"","
STATE_SYNC	YES	54dc0a913accc03d6b5d4e3e5afa4dd4338638299d1bafdf64e5319df85834f3	workspace/operational/integration/PROJECT_CONFIGURATION_MANIFEST.json	30	"  ""active_task"": ""Recovery Standardization"""
RECOVERY_BOOTSTRAP	YES	54dc0a913accc03d6b5d4e3e5afa4dd4338638299d1bafdf64e5319df85834f3	workspace/operational/integration/PROJECT_CONFIGURATION_MANIFEST.json	30	"  ""active_task"": ""Recovery Standardization"""
MISSION_OPERATION	YES	54dc0a913accc03d6b5d4e3e5afa4dd4338638299d1bafdf64e5319df85834f3	workspace/operational/integration/PROJECT_CONFIGURATION_MANIFEST.json	30	"  ""active_task"": ""Recovery Standardization"""
