sha256	aliases	line	text
33593015c71b4943f924d849952632d1c0b99f9d80f2e63c3d42bcdb87844358	BOOTSTRAP/BOOTSTRAP — Foundational Reduction Continuation.md	27	## Active Mission
33593015c71b4943f924d849952632d1c0b99f9d80f2e63c3d42bcdb87844358	BOOTSTRAP/BOOTSTRAP — Foundational Reduction Continuation.md	43	## Current Objective
33593015c71b4943f924d849952632d1c0b99f9d80f2e63c3d42bcdb87844358	BOOTSTRAP/BOOTSTRAP — Foundational Reduction Continuation.md	68	## Verified Repository State
33593015c71b4943f924d849952632d1c0b99f9d80f2e63c3d42bcdb87844358	BOOTSTRAP/BOOTSTRAP — Foundational Reduction Continuation.md	76	Repository synchronized with GitHub.
33593015c71b4943f924d849952632d1c0b99f9d80f2e63c3d42bcdb87844358	BOOTSTRAP/BOOTSTRAP — Foundational Reduction Continuation.md	84	## Constitutional Additions Pending Validation
33593015c71b4943f924d849952632d1c0b99f9d80f2e63c3d42bcdb87844358	BOOTSTRAP/BOOTSTRAP — Foundational Reduction Continuation.md	107	## Destroyed Candidates
33593015c71b4943f924d849952632d1c0b99f9d80f2e63c3d42bcdb87844358	BOOTSTRAP/BOOTSTRAP — Foundational Reduction Continuation.md	143	## Strongest Surviving Observations
33593015c71b4943f924d849952632d1c0b99f9d80f2e63c3d42bcdb87844358	BOOTSTRAP/BOOTSTRAP — Foundational Reduction Continuation.md	170	## Current Attack Frontier
33593015c71b4943f924d849952632d1c0b99f9d80f2e63c3d42bcdb87844358	BOOTSTRAP/BOOTSTRAP — Foundational Reduction Continuation.md	188	## Non-Negotiable Constraints
33593015c71b4943f924d849952632d1c0b99f9d80f2e63c3d42bcdb87844358	BOOTSTRAP/BOOTSTRAP — Foundational Reduction Continuation.md	214	## New Constitutional Constraint Candidate
33593015c71b4943f924d849952632d1c0b99f9d80f2e63c3d42bcdb87844358	BOOTSTRAP/BOOTSTRAP — Foundational Reduction Continuation.md	226	## Working Standard
1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	1	# KRN-0001 — Common Constitutional Kernel
1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	11	# Purpose
1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	29	# Project Identity
1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	43	# Constitutional Boundary
1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	66	# Initialization Protocol
1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	99	# Source Precedence
1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	124	# Epistemic Discipline
1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	163	# Recovery Doctrine
1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	191	# Reduction Doctrine
1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	217	# Construction Doctrine
1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	237	# Repository Doctrine
1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	269	# Branch Doctrine
1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	281	Branch synchronization SHALL be deliberate, not constant.
1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	300	# Governance Doctrine
1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	326	# Human Doctrine
1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	362	# Interface Doctrine
1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	382	# Operator Model Boundary
1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	409	# More Birds Heuristic
1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	429	# Interruption Rules
1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	448	# Session Lifecycle
1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	479	# Validation
1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	511	# Uncertainty Procedure
1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	524	# Guiding Question
1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md | governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	530	# Final Authority
b392e310bbba832ca2757fba815f4b5e3a9fc2b8b7a348ecf732376ddae2007a	workspace/operational/integration/EXTERNAL_VERIFICATION_STATUS.json	9	"    ""status"": ""verified"""
b392e310bbba832ca2757fba815f4b5e3a9fc2b8b7a348ecf732376ddae2007a	workspace/operational/integration/EXTERNAL_VERIFICATION_STATUS.json	21	"    ""status"": ""verified"""
5f55925976446211b2e3cc2678c98b787fb167e63c3b1a435239d8e3d7575301	workspace/operational/integration/FILE_LIBRARY_MANIFEST.json	3	"  ""status"": ""verified"","
5f55925976446211b2e3cc2678c98b787fb167e63c3b1a435239d8e3d7575301	workspace/operational/integration/FILE_LIBRARY_MANIFEST.json	4	"  ""authority"": ""Operations"","
54dc0a913accc03d6b5d4e3e5afa4dd4338638299d1bafdf64e5319df85834f3	workspace/operational/integration/PROJECT_CONFIGURATION_MANIFEST.json	3	"  ""status"": ""candidate"","
54dc0a913accc03d6b5d4e3e5afa4dd4338638299d1bafdf64e5319df85834f3	workspace/operational/integration/PROJECT_CONFIGURATION_MANIFEST.json	4	"  ""authority"": ""Operations"","
54dc0a913accc03d6b5d4e3e5afa4dd4338638299d1bafdf64e5319df85834f3	workspace/operational/integration/PROJECT_CONFIGURATION_MANIFEST.json	6	"  ""required_configuration"": {"
54dc0a913accc03d6b5d4e3e5afa4dd4338638299d1bafdf64e5319df85834f3	workspace/operational/integration/PROJECT_CONFIGURATION_MANIFEST.json	20	"  ""execution_roles"": ["
54dc0a913accc03d6b5d4e3e5afa4dd4338638299d1bafdf64e5319df85834f3	workspace/operational/integration/PROJECT_CONFIGURATION_MANIFEST.json	21	"    ""Head Steward"","
54dc0a913accc03d6b5d4e3e5afa4dd4338638299d1bafdf64e5319df85834f3	workspace/operational/integration/PROJECT_CONFIGURATION_MANIFEST.json	28	"  ""active_execution_partner"": ""Babbage"","
54dc0a913accc03d6b5d4e3e5afa4dd4338638299d1bafdf64e5319df85834f3	workspace/operational/integration/PROJECT_CONFIGURATION_MANIFEST.json	29	"  ""active_mission"": ""GPT Plus Integration"","
54dc0a913accc03d6b5d4e3e5afa4dd4338638299d1bafdf64e5319df85834f3	workspace/operational/integration/PROJECT_CONFIGURATION_MANIFEST.json	30	"  ""active_task"": ""Recovery Standardization"""
