path	line	text
BOOTSTRAP/BOOTSTRAP — Foundational Reduction Continuation.md	143	## Strongest Surviving Observations
BOOTSTRAP/BOOTSTRAP — Foundational Reduction Continuation.md	170	## Current Attack Frontier
BOOTSTRAP/BOOTSTRAP — Foundational Reduction Continuation.md	188	## Non-Negotiable Constraints
BOOTSTRAP/BOOTSTRAP — Foundational Reduction Continuation.md	214	## New Constitutional Constraint Candidate
BOOTSTRAP/BOOTSTRAP — Foundational Reduction Continuation.md	226	## Working Standard
BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	1	# KRN-0001 — Common Constitutional Kernel
BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	11	# Purpose
BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	29	# Project Identity
BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	43	# Constitutional Boundary
BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	66	# Initialization Protocol
BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	99	# Source Precedence
BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	124	# Epistemic Discipline
BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	163	# Recovery Doctrine
BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	191	# Reduction Doctrine
BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	217	# Construction Doctrine
BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	237	# Repository Doctrine
BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	269	# Branch Doctrine
BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	281	Branch synchronization SHALL be deliberate, not constant.
BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	300	# Governance Doctrine
BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	326	# Human Doctrine
BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	362	# Interface Doctrine
BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	382	# Operator Model Boundary
BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	409	# More Birds Heuristic
BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	429	# Interruption Rules
BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	448	# Session Lifecycle
BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	479	# Validation
BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	511	# Uncertainty Procedure
BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	524	# Guiding Question
BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	530	# Final Authority
governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	1	# KRN-0001 — Common Constitutional Kernel
governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	11	# Purpose
governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	29	# Project Identity
governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	43	# Constitutional Boundary
governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	66	# Initialization Protocol
governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	99	# Source Precedence
governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	124	# Epistemic Discipline
governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	163	# Recovery Doctrine
governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	191	# Reduction Doctrine
governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	217	# Construction Doctrine
governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	237	# Repository Doctrine
governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	269	# Branch Doctrine
governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	281	Branch synchronization SHALL be deliberate, not constant.
governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	300	# Governance Doctrine
governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	326	# Human Doctrine
governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	362	# Interface Doctrine
governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	382	# Operator Model Boundary
governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	409	# More Birds Heuristic
governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	429	# Interruption Rules
governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	448	# Session Lifecycle
governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	479	# Validation
governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	511	# Uncertainty Procedure
governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	524	# Guiding Question
governance/kernel/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	530	# Final Authority
workspace/operational/integration/EXTERNAL_VERIFICATION_STATUS.json	9	    "status": "verified"
workspace/operational/integration/EXTERNAL_VERIFICATION_STATUS.json	21	    "status": "verified"
workspace/operational/integration/FILE_LIBRARY_MANIFEST.json	3	  "status": "verified",
workspace/operational/integration/FILE_LIBRARY_MANIFEST.json	4	  "authority": "Operations",
workspace/operational/integration/PROJECT_CONFIGURATION_MANIFEST.json	3	  "status": "candidate",
workspace/operational/integration/PROJECT_CONFIGURATION_MANIFEST.json	4	  "authority": "Operations",
workspace/operational/integration/PROJECT_CONFIGURATION_MANIFEST.json	6	  "required_configuration": {
workspace/operational/integration/PROJECT_CONFIGURATION_MANIFEST.json	20	  "execution_roles": [
workspace/operational/integration/PROJECT_CONFIGURATION_MANIFEST.json	21	    "Head Steward",
workspace/operational/integration/PROJECT_CONFIGURATION_MANIFEST.json	28	  "active_execution_partner": "Babbage",
workspace/operational/integration/PROJECT_CONFIGURATION_MANIFEST.json	29	  "active_mission": "GPT Plus Integration",
workspace/operational/integration/PROJECT_CONFIGURATION_MANIFEST.json	30	  "active_task": "Recovery Standardization"
